"Tên Món","Thời gian","Số người","Độ khó","Nguyên Liệu","Cách Nấu"
Bánh cookie trái tim cho ngày Valentine thêm ấm áp,60 phút,4 người,Dễ,"Bột mì-100 gr | Bơ-50 gr | Đường bột-40 gr | Lòng đỏ trứng-20 gr | Bột ca cao-5 gr | Khuôn hình trái tim, dao cắt bánh hình răng cưa-dụng cụ","Bước 1:Các bạn trộn bột mì với đường cho thật đều tay để bột mịn không bị vón cục | Bước 2:Bạn dùng dụng cụ đánh trứng để làm nhuyễn bơ rồi từ từ đổ phần trứng đã đánh tan vào bát bột vừa đánh | Bước 3:Khi bơ và trứng đã tạo thành hỗn hợp quyện với nhau, Bạn thêm hỗn hợp đường,và bột đã trộn bên trên vào rồi bạn nhồi bột cho thành 1 khối thật mịn | Bước 4:Bạn chia bột thành 2 phần, một phần bạn trộn với bột ca cao còn 1 phần để lại | Bước 5:Bạn dùng cán bột cán phẳng 2 miếng bột rồi dùng khuôn để tạo hình trái tim rồi dùng dao răng cưa cắt hình vuông. Bạn cắt hình vuông to hơn để hình trái tim có thể nằm vừa trong lòng hình vuông.  Bạn có thể xiên một lỗ để lồng dây ruy băng cho bánh được đẹp | Bước 6:Bạn nướng bánh ở nhiệt độ 180 độ C trong khoảng 7 phút là bánh chín. Bạn có thể dùng chocolate viết chữ lên bánh | Chúc các bạn thành công và ngon miệng nhé!"
Mứt đậu đỏ ngon ngọt đón Tết,60 phút,4 người,Dễ,Đậu đỏ-200g (bạn nhớ mua loại đậu to và không bị lép ) | Đường-250g | 1 chút xíu muối; vanilla nếu thích- | Bột baking soda-1/2 muỗng cà phê,"Bước 1: | -Đậu đỏ bạn ngâm với nước ấm qua đêm. Sau đó đổ hạt đậu đỏ ra rổ xả qua nước lạnh vài lần cho sạch. | Bước 2: | -Nấu 1 nồi nước cho chút muối và baking soda vào, khi nước sôi bạn  cho đậu vào luộc chín với lửa vừa. Khi đậu chín mềm bạn đổ đậu ra rổ xả qua nước lạnh. | Bước 3: | -Cho vào nồi 100g đường, 200ml nước, đậu đỏ, bắc lên bếp nấu lửa hơi thấp cho nước đường thấm từ từ vào đậu. Nấu cho tới khi nước cạn thì tắt bếp. Lúc này đậu đỏ mềm, mọng căng tròn rất đẹp. | Bước 4: | -Cho đậu, 150g đường vào chảo không dính, đảo nhẹ cho đường tan. Sau đó bạn cho lên bếp sên với lửa nhỏ. Trong thời gian sên cứ thỉnh thoảng trộn nhẹ và cứ thế sên cho đến khi đường kết tinh bám quanh sen và khô ráo là tắt bếp. | Bước 5: | -Đổmứt đậu đỏra khay hóng mát cho khô ráo và mau nguội. | Khi đậu nguội thì bạn cho vào hũ thủy tinh, đậy nắp, bảo quản nơi mát mẻ nhé. | Với cách làm này bạn yên tâm sẽ cómứt đậu đỏmọng tròn bùi - mềm rất ngon.Mứt đậu đỏ cho ra đĩa, pha thêm ấm trà mời khách trong ngày đầu năm thì  thật tuyệt. | Chúc các bạn thành công với cách làm mứt đậu đỏ ngọtngào đón Tết thêm ý nghĩa!"
Lẩu ếch chua cay ngon chuẩn miền Bắc,1 giờ 15 phút,4 người,Dễ,"Thịt ếch-400 gr | Cà chua-4 quả | Me xanh-6 quả | Hạt nêm, đường-mỗi thứ 1 muỗng canh | Tỏi bằm, ớt bằm, sả bằm-mỗi loại 2 muỗng cà phê | Nước mắm-2 muỗng canh | Nước dùng heo-1,5l | Bột chiên giòn-50 gr | Ngò gai, rau om, hành lá-mỗi loại 50 gr | Ớt sừng-1 trái cắt khoanh | Dầu ăn-nguyên liệu | Cọng rau muống, lá giang, chuối bào, giá, đầu hành, ớt sừng-rau ăn kèm | Bún-1 kg","1. Hướng dẫn cách làm lẩu ếch chua cay ngon chuẩn miền Bắc | Bước 1:Thịt ếch bạn làm sạch, để nguyên da rồi ướp với chút muối tiêu, ớt, sả băm, để khoảng 15 phút cho thấm gia vị. Tiếp đến bạn đem ếch lăn qua bột chiên giòn một lớp mỏng. Chiên ếch trong chảo ngập dầu đến vàng giòn thì vớt ra thấm ráo dầu. | Bước 2:Bạn cạo bỏ vỏ me, rửa sạch rồi cho vào nồi nấu với một chén nước khoảng 20 phút, rồi bạn lược qua rây lấy nước cốt. Cà chua các bạn cắt múi cam. Rau om và ngò gai cắt nhỏ. | Bước 3:Bạn phi thơm tỏi, ớt, sả băm rồi trút nước dùng, nước cốt me, cà chua vào nồi nấu trên lửa vừa. Khi nước dùng sôi bạn nêm đường, nước mắm, hạt nêm vừa ăn. Tiếp đến bạn thả ngò gai, rau om, đầu hành lá, ớt sừng vào đun thêm khoảng hai phút là xong. | Bước 4:Bạn bày ếch chiên giòn ra đĩa, dọn thêm bún, rau, nước mắm ớt ăn kèm. | Mách nhỏ:Ếch sau khi làm ruột, bạn bóp kỹ với muối hột, ớt bằm rồi xả sạch qua nhiều nước để loại bỏ nhớt và mùi tanh nhé! | Lẩu ếch chua cay có hương vị độc đáo, kích thích với sự hòa quyện giữa vị chua chua và cay cay. Khi thưởng thức món lẩu này, bạn có thể kết hợp với các loại rau như rau muống bào, đậu bắp,... Để đảm bảo ếch không bị bở và giữ được độ ngon nhừ, hãy đun nước lẩu ở lửa nhỏ suốt quá trình ăn. Khi ăn, bạn có thể thêm ếch, đậu hũ và lá lốt vào nồi lẩu tại chỗ để ăn từng phần, tránh việc ếch bị quá chín và mất đi độ giòn. | 2. Cách làm lẩu ếch lá lốt | 1. Nguyên liệu | Thịt ếch: 600g | Đậu hũ: 2 miếng | Măng tươi: 300g | Tàu hũ ky: 100g | Lá lốt: 100g | Cà chua: 2 quả | Sả: 2 cây | Hành tím băm: 1 muỗng | Tỏi băm: 1 muỗng | Nước dùng gà: 1.5 lít | Nước nghệ tươi: 2 muỗng | Gia vị: 10g (bột canh, muối, nước mắm, bột ngọt, giấm gạo, ...) | 2. Cách chế biến lá lốt | 2.1. Sơ chế nguyên liệu | Sả: Đập dập và cắt thành khúc dài khoảng 5cm để sử dụng. | Đậu hũ: Chia làm 6 khối vuông nhỏ. | Cà chua: Cắt thành hình múi cau. | Lá lốt: Loại bỏ phần cuống cứng, sau đó cắt nhỏ theo ý muốn. | Ngò gai và hành lá: Cắt thành khúc dài khoảng 1,5cm. | Măng: Cắt thành lát và luộc trong khoảng 20 - 30 phút để loại bỏ chất độc và giảm đắng. | Thịt ếch: Chặt nhỏ thành từng miếng vừa ăn. | 2.2. Ướp thịt ếch | Trộn đều thịt ếch với 2 muỗng canh nước nghệ tươi và 1 muỗng bột canh, sau đó ướp trong 5 - 10 phút. | 2.3. Xào ếch | Đầu tiên, phi 1 muỗng cà phê hành tím băm và tỏi băm với 1 muỗng dầu ăn cho thơm. | Khi hành và tỏi có mùi thơm, thêm thịt ếch vào xào chung. | Sau khi xào ếch trong 1 phút, thêm măng đã luộc, 1 muỗng cà phê hạt nêm, 1 muỗng nước mắm và 1 muỗng sa tế. Kế đó, đảo đều hỗn hợp này cho thịt ếch săn lại, sau đó thêm ngò gai và hành lá, đảo đều và tắt bếp. | 2.4. Nấu nước lẩu | Phi sả và hành tỏi băm còn lại với 2 muỗng dầu ăn cho thơm. | Khi có mùi thơm, thêm cà chua và đảo chung cho cà chua mềm. | Tiếp theo, thêm nước dùng gà, 1 muỗng bột nêm, 1 muỗng bột ngọt, 1 muỗng đường và 3 muỗng giấm. Nêm nếm lại cho vừa miệng và đợi cho nước sôi."
Lưỡi heo xào chua ngọt thơm ngon hấp dẫn,35 phút,4 người,Dễ,"Lưỡi heo-1 cái | Hành khô-1 củ | Cà chua-1 quả | Tỏi-1 củ | Dầu hào, tương ớt, hạt tiêu, hành hoa, rau mùi, bột năng, đường, mắm, dấm, bột canh-gia vị","Bước 1:Cà chua các bạn rửa sạch, thái múi cau. Hành hoa, rau mùi nhặt bỏ lá già và rễ rồi đem rửa sạch, thái nhỏ. Hành khô và tỏi lột bỏ vỏ, băm nhỏ. | Bước 2:Bạn cho lưỡi heo vào nồi nước đun đến khi nước sôi. | Bước 3: Bạn gạn bỏ nước trong nồi đi, dùng dao cạo bỏ sạch lớp màng trắng trên mặt lưỡi rồi rửa lại với nước cho sạch. | Bước 4:Thái lưỡi heo thành những miếng nhỏ vừa ăn. Bạn ướp lưỡi heo với 1 thìa ăn cơm dầu hào, 1 thìa cà phê bột canh. | Bước 5:Bạn làm nóng dầu ăn trong chảo, cho hành và tỏi vào phi thơm rồi cho lưỡi heo vào xào qua. | Bước 6: Bạn pha một bát hỗn hợp gồm 6 thìa cà phê dấm, 2 thìa cà phê đường, 1 thìa mắm, 1 thìa tương ớt. | Bước 7: Đổ hỗn hợp chua ngọt cùng cà chua vào chảo lưỡi vừa được xào qua. Đun liu riu ở lửa nhỏ nhất để lưỡi heo ngấm gia vị cho tới khi cạn hết nước. | Bước 8:Bạn hòa một thìa cà phê bột năng với 3 thìa ăn cơm nước. Dùng thìa dầm tan cà chua. Đổ bát bột năng vừa pha vào đun cho nước sệt lại, cho hành và rau mùi thái nhỏ vào đảo đều rồi tắt bếp. | Bước 9: Bạn xúc lưỡi heo ra đĩa, rắc hạt tiêu lên trên. Ăn nóng cùng cơm nhé."
Sườn rim chua ngọt ngon mê ly cho bữa cơm nhà,60 phút,4 người,Dễ,"Sườn non-700 gr | Trứng gà-1 quả | Ớt sừng-10 gr | Hành tím-10 gr | Tỏi-10 gr | Tương ớt-1.5 muỗng canh | Tương cà-1.5 muỗng canh | Nước tương-5 muỗng cà phê | Giấm-2 muỗng cà phê | Bột bắp-2 muỗng canh | Dầu ăn-50 ml | Gia vị-Muối, đường, hạt nêm, bột ngọt, tiêu","1. Sơ chế nguyên liệu | Sơ chế sườn: Sử dụng muối hoặc chanh để chà xát mặt thịt của sườn heo. Sau đó, rửa sườn lại với nước sạch để loại bỏ muối hoặc chanh trên bề mặt, sau đó để ráo. Tiếp theo, chặt sườn thành các miếng nhỏ vừa ăn. | Trụng sườn: Chuẩn bị một thau hoặc nồi lớn, đổ nước sôi vào thau sao cho mặt sườn được ngập trong nước. Trụng sườn trong nước sôi khoảng 5 - 10 phút, sau đó vớt sườn ra và xả sạch bằng nước lạnh để loại bỏ cặn bẩn. | Rửa và để ráo: Xả sườn bằng nước sạch để loại bỏ bất kỳ tạp chất nào còn lại trên bề mặt. Sau đó, để sườn ráo trong một chỗ khô thoáng. | 2. Ướp và chiên sườn | Chuẩn bị gia vị: Trong một tô, trộn đều 1/3 muỗng cà phê muối, 2 muỗng cà phê hạt nêm, 1/3 muỗng cà phê bột ngọt, 1 muỗng cà phê nước tương, 1 muỗng canh đường, 1/3 muỗng cà phê tiêu xay, 5g tỏi băm và 10g hành tím băm. | Ướp sườn: Đặt sườn vào một tô và rắc đều gia vị đã chuẩn bị lên sườn. Đảo đều để sườn thấm đều gia vị. Ướp sườn trong khoảng 15 - 20 phút để gia vị thấm vào sườn đều. | Chuẩn bị hỗn hợp bột áo: Đập 1 quả trứng gà và tách lấy lòng trắng. Hòa lòng trắng trứng với 2 muỗng canh bột bắp. | Áo sườn bằng hỗn hợp bột áo: Cho hỗn hợp bột bắp và lòng trắng trứng vào tô chứa sườn. Trộn đều để bột áo phủ đều lên sườn. | Một gợi ý nhỏ: Ướp thịt với lòng trắng trứng gà và bột bắp giúp sườn khi chiên có màu vàng đẹp và trở nên giòn hơn. | Chiên sườn: Đặt một chảo lên bếp và đổ dầu ăn vào chảo. Chờ đến khi dầu ăn nóng, sau đó đặt phần sườn đã được áo bột vào chảo và chiên ở lửa vừa. Chiên sườn cho đến khi sườn chín vàng và cạnh sườn trở nên giòn. Sau đó, vớt sườn ra khỏi chảo để ráo dầu. | 3. Rim sườn | Đổ bớt dầu từ chảo, giữ lại một ít dầu và cho tỏi vào phi thơm. | Thêm 10g ớt sừng băm nhuyễn và toàn bộ phần sốt đã pha trước đó vào chảo. Tiếp theo, đổ 50ml nước lọc vào tô chứa nước sốt, tráng đều rồi đổ vào chảo. Đun nước sốt cho đến khi hỗn hợp sôi lên và hơi sánh lại. | Rim sườn ở lửa nhỏ trong khoảng 5 phút cho đến khi nước sốt sánh kẹo lại và sườn ngấm đều gia vị. Sau đó, tắt bếp. | Bày sườn ra đĩa và trang trí để tạo thành một món ăn đẹp mắt. | 4. Thành phẩm | Món sườn rim chua ngọt dễ thực hiện, với các nguyên liệu đơn giản và dễ tìm kiếm. Tuy nhiên, hương vị của nó lại vô cùng thơm ngon và hấp dẫn, tạo cảm giác thèm thuồng khiến bạn muốn ăn thêm. Mỗi miếng sườn thấm đầy hương vị, kết hợp với sốt chua chua, ngọt ngọt, tạo ra một cảm giác kích thích vị giác tuyệt vời khi ăn kèm cơm."
Canh cua mồng tơi ngon mát cho mùa hè,40 phút,4 người,Dễ,Cua đồng-300 gram | Rau mồng tơi-300 gram | Hành tím-2 củ | Dầu ăn-2 muỗng canh | Nước mắm-1 muỗng canh | Muối-Một ít,"1. Sơ chế của đồng | Đầu tiên, bắt đầu với 300 gram cua đồng, hãy sử dụng tay để tách bỏ mai và yếm, sau đó rửa cua một vài lần với nước cho sạch và để ráo. Đồng thời, lấy muỗng để gạch cua từ yếm cho vào một chén riêng. Tiếp theo, chuẩn bị máy xay sinh tố và đổ số cua đồng đã để ráo cùng 300ml nước lọc vào máy, sau đó xay nhuyễn hỗn hợp trong khoảng 3 phút ở mức vừa. | Khi thấy hỗn hợp đã nhuyễn, tắt máy và sử dụng rây để lọc phần xác cua, chỉ giữ lại nước riêu cua để sử dụng trong chế biến. | 2. Sơ chế nguyên liệu khác | Tiếp theo, với 300 gram rau mồng tơi, bạn hãy nhặt lấy các lá non và đồng thời loại bỏ những lá dập úng hoặc héo úa. | Sau đó, ngâm rau mồng tơi trong nước muối pha loãng trong khoảng 10 phút, sau đó rửa lại 1-2 lần với nước để làm sạch và để ráo. Sau đó, sử dụng dao để cắt rau thành khúc dài khoảng 1-2 phần ngón tay. | Cuối cùng, lột vỏ hành tím và băm nhuyễn nó. | 3. Xào gạch cua | Sau khi chuẩn bị xong nguyên liệu, hãy đặt một chảo lên bếp và thêm 1 muỗng canh dầu ăn, sau đó đun chảo với lửa vừa. Chờ đến khi dầu nóng, bạn hãy cho hành tím đã băm nhuyễn vào chảo và phi thơm trong khoảng 3 phút. | Tiếp theo, thêm chén gạch cua vào chảo và sử dụng sạn dẹt để xào đều trong khoảng 3-5 phút, cho đến khi thấy gạch cua trở nên hơi sánh và đặc. Khi đó, bạn có thể tắt bếp. | 4. Nấu canh | Khi vô tình chạm mắt, tô canh cua mồng tơi đã tỏa sáng với màu sắc bắt mắt từ riêu cua và sự tươi tốt của rau xanh, nhanh chóng thu hút mọi người! | Đặc biệt, riêu cua mềm mịn và ngọt ngào, kết hợp với hương vị tươi ngon của rau và nước dùng đậm đà, thực sự là một món ăn không thể thiếu trên bàn cơm!"
Thịt lợn mán tái chanh thơm ngon ngọt,60 phút,4 người,Dễ,Thịt lợn mán (Chọn phần thịt vai hoặc thịt đùi)-500gr | Gừng-1 nhánh | Sả-2 cây | Vừng trắng rang vàng-3 thìa | Dầu vừng-1 thìa | Chanh-1/2 quả | Đường-1 thìa | Bột canh-1 thìa | Chuối xanh-1 quả | Khế chua-1 quả | Ớt-Tuỳ thích | Giấm-2 thìa | Muối-1 thìa,"Gừng và 2 củ sả đập dập chia thành 2 phần, 1 củ sả còn lại băm nhỏ. | Chuối xanh lột vỏ, cắt lát mỏng, ngâm vào nước pha muối và giấm cho đỡ bị thâm rồi để ráo. Khế chua rửa sạch, cắt lát. Vừng rang vàng. | Thịt lợn rửa sạch, dùng dao cao sạch phần bì. Đun sôi nước, thả một phần gừng, sả vào rồi cho thịt vào trần trong khoảng 2-3 phút để loại bỏ các chất bẩn và mùi hôi của thịt, sau đó rửa sạch lại với nước. | Hấp thịt với chỗ gừng và sả còn lại cho tới khi chín (mất khoảng 10-15 phút sau khi nước sôi, các bạn dùng đũa châm không thấy nước đỏ chảy ra là thịt chín). Gắp thịt ra thả vào bát nước đá ngay cho thịt trắng và mềm. | Dùng dao sắc thái thịt lợn mán đã luộc thật mỏng, cho vào tô. | Vắt nửa quả chanh vào tô, thêm đường, muối, dầu vừng, 1/2 chỗ vừng rang, ớt thái nhỏ vào, dùng găng tay trộn đều. Sau khi trộn xong các bạn có thể nêm nếm lại gia vị cho vừa miệng rồi xếp thịt ra đĩa, rắc chỗ vừng còn lại lên trên là ta đã làm xong món thịt lợn mán tái chanh. Các bạn ăn thịt lợn mán tái chanh cùng với khế chua và chuối xanh không thôi cũng ngon, nếu thích, các bạn có thể chấm tương gừng ăn cũng siêu hợp vị nhé."
Xôi cốm dẻo thơm ngon khó chối từ,2 giờ 00 phút,4 người,Dễ,Cốm-300g | Đỗ xanh-100g | Dừa tươi-50g | Đường kính trắng-4 thìa cà phê | Dầu ăn-2 thìa,"Bước 1:Đậu xanh ngâm trong nước nóng 2h rồi đãi sạch, để ráo nước, trộn với 1/3 thìa cà phê muối để trong chiếc chén con. Nếu là đỗ xanh chưa bỏ vỏ thì bạn nên ngâm trước đó 3h rồi đãi sạch vỏ đi nhé. | Bước 2:Cho đỗ xanh vào nồi hấp và hấp cho đến khi chín. Nếu không có xoong hấp bạn có thể cho vào nồi cơm điện và nấu như cơm. Không nên cho nhiều nước, khi đỗ sôi sẽ trào nước ra nồi. | Khi đậu chín thì cho vào cối giã nhuyễn hoặc nghiền bằng thìa. | Bước 3:Trộn cốm với 2 thìa dầu ăn, rồi cho vào hấp. Khi hấp bạn nên cho lửa liu riu, đợi trong 5-7 phút là cốm chín. | Bước 4:Lấy cốm đã chín và trộn với 2 thìa đường trắng, rồi đem hấp lại trong 5 phút. | Bước 5:Dừa nạo thành sợi ướp với chỗ đường còn lại, để trong 20 phút. | Cho 1 chút dầu ăn vào chảo, để lửa nhỏ cho dừa tươi ướp đường vào xào cho săn lại. Bạn có thể nhận thấy dừa săn lại là khi đường cô lại, bám chặt vào từng sợi dừa, tuy nhiên bạn không nên để quá lửa để dừa bị cháy có màu vàng nhìn sẽ không đẹp mắt. | Bước 6:Đổ xôi ra một cái khay rộng rồi trộn đều xôi cốm với dừa và đậu xanh đã giã nhuyễn. | Để có hình thức bắt mắt bạn có thể trải lá sen hoặc lá chuối lót dưới đĩa hay mẹt nhỏ rồi hãy đổ xôi cốm lên. | Chúc bạn và gia đình thành công với cách nấu xôi cốm thơm ngon hấp dẫn này!"
Món trứng bọc cơm vừa ngon vừa đẹp mắt,60 phút,4 người,Dễ,"Cho phần cơm chiên :-Thịt gà-250g | Hành tây-1 củ nhỏ | Tỏi-4 nhánh | Nấm đông cô-4 cây | Cơm-2 bát đầy (có thể tận dụng cơm nguội để chiên cơm luôn ) | Canh tương cà-3 muỗng | Dầu ăn, muối, tiêu- | Cho phần trứng bọc bên ngoài: -Trứng to-8 quả | Sữa tươi-4 thìa cà phê | Dầu ăn, muối, tiêu-","Bắt đầu thực hiện món trứng bọc cơm thôi nào ! | Bước 1 : | -Thịt gà thái miếng vuông nhỏ sau đó ướp với tiêu, muối, để riêng. | -Hành tây thái hình  hạt lựu,tỏi băm nhỏ đập dập, nấm đông cô thái mỏng | -Làm nóng dầu ăn trong chảo, cho hành tây vào xào đến khi hành mềm thì cho tỏi và nấm vào đảo cho mềm, sau đó trút thịt gà đã ướp vào xào chín. | Bước 2 : | -Khi gà đã chín, bạn thêm cơm vào đảo nhanh tay cho cơm tơi, nêm muối, tiêu vừa ăn. | -Đảo cơm khoảng 2 phút để cho cơm hơi săn lại thì bạn tắt bếp, thêm tương cà vào. | Bước 3 : | -Đảo nhanh tay để tương cà phủ đều bên ngoài các hạt cơm. | Bước 4 : | -Đánh tan 2 quả trứng trong 1 bát, thêm 1 muỗng cafe sữa tươi cùng chút muối, tiêu nguấy đều lên. | -Làm nóng chút dầu ăn trong chảo với lửa vừa, cho trứng vào rồi nghiêng chảo để trứng dàn đều trên chảo, tránh trường hợp cho trứng vào nhưng không dàn đều ra sẽ không được sản phẩm như ý muốn. | -Khi viền ngoài trứng se lại nhưng ở giữa trứng vẫn còn ướt thì bạn xúc 1/4 chỗ cơm vào giữa chảo trứng. | Bước 5 : | -Nhẹ nhàng gập phần viền trứng lên trên cơm. Bạn lưu ý rằng trứng có thể không cần phủ kín toàn bộ cơm,nhẹ nhàng để trứng không bị rời thành từng mảng nhé. Sau đó úp đĩa lên và lật ngược chảo để có phần mặt trứng đẹp mắt ở phía trên. | -Làm lần lượt tới khi hết trứng và cơm. Bày cơm lên đĩa, trang trí với tương cà và các loại rau củ ăn kèm tùy thích. | Cùng chiêm ngưỡng thành quả nào ! | Bạn cũng có thể trang trí hoặc biến tấu món này theo nhiều kiểu khác của riêng mình nhé! Chúc các bạn thành công !"
Thịt kho đông pha chuẩn vị miền Bắc,1 giờ 15 phút,4 người,Dễ,"Thịt chân giò-500 gr | Bì heo-100 gr | Mộc nhĩ, nấm hương-nguyên liệu | Hành khô-4-5 củ | Gia vị-hạt nêm, nước mắm, hạt tiêu, dầu ăn","1. Cách nấu thịt kho đông pha chuẩn vị miền Bắc | Bước 1: | Thịt chân giò, da heo cạo sạch lông ở da, rửa sạch rồi thái miếng vừa ăn. | Băm nhỏ hành khô. | Nấm hương, mộc nhĩ ngâm nở rồi thái sợi nhỏ. | Bước 2: | Ướp thịt đã thái với 1 thìa canh hạt nêm, 1 thìa canh nước mắm, chút gia vị, 1/3 chỗ hành khô đã băm nhỏ khoảng 25-30 phút cho thịt ngấm đều gia vị. | Bước 3: | Phi thơm 1/3 chỗ hành khô với dầu ăn | Rồi cho thịt vào đến khi hơi săn lại. | Tiếp theo đổ nước ngập mặt thịt, dùng cả phần nước ngâm nấm gạn bỏ cặn cho vào cùng, đun sôi rồi hớt bọt, hầm trong khoảng 30-40 phút đến khi thịt chín mềm. Trong quá trình hầm nếu vẫn có bọt thì các bạn cứ tiếp tục hớt đến khi hết bọt. | Bước 4: | Dùng chỗ hành khô còn lại tiếp tục phi thơm với 1 chút dầu ăn. | Các bạn cho nấm hương và mộc nhĩ vào xào săn, nêm chút gia vị. | Bước 5: | Khi thịt gần được thì cho nấm và mộc nhĩ vào, đun sôi thêm 3-5 phút nữa thì tắt bếp, rắc hạt tiêu vào đảo đều. | Tiếp đến các bạn rắc hạt tiêu và cà rốt, hoặc rau mùi xuống đáy bát để trang trí | Chờ thịt nguội bớt thì múc vào bát, để vào ngăn mát tủ lạnh | 2. Cách nấu thịt kho đông gà | Nguyên liệu chuẩn bị | 700g thịt gà | Mộc nhĩ | Nấm hương | Gia vị: muối, hạt tiêu, hạt nêm | Nửa con gà | Các bước tiến hành | Bước 1: Chuẩn bị nguyên liệu | Rửa sạch thịt gà và chặt thành từng miếng vừa ăn. Một mẹo nhỏ là đặt thịt gà trong tủ lạnh một lúc trước khi chặt để dễ dàng và không bị nát. | Ướp gà với nước mắm, hạt nêm và hạt tiêu trong khoảng 20-30 phút. | Rửa sạch mộc nhĩ và nấm hương, ngâm qua nước để nở ra. Sau đó, thái nhỏ mộc nhĩ và nấm hương. | Bước 2: Nấu món Thịt Gà Kho | Trong một nồi, xào thịt gà sơ qua trong khoảng 10 phút. Tiếp theo, thêm mộc nhĩ và nấm hương và xào thêm 5 phút. Cho thêm chút hạt nêm vào nồi và đảo đều. | Đổ nước lọc vào nồi sao cho thịt gà ngập. Đun sôi, sau đó giảm lửa nhỏ và hớt bọt để nồi thịt gà đông mà không bị đục. Nêm lại gia vị theo khẩu vị. | Đậy nắp nồi và đun sôi với lửa nhỏ trong khoảng 30 phút, sau đó tắt bếp. | Bước 3: Bảo quản | Đặt thịt gà vào khuôn đã chuẩn bị trước đó, sau đó đặt vào ngăn mát của tủ lạnh. Hãy để thịt trong tủ lạnh từ 4 đến 6 tiếng để nguyên liệu đông và hòa quyện hương vị. | Khi sử dụng phần thịt đã đông, hãy lưu ý chỉ lấy phần cần dùng và không cho phần thừa trở lại vào nồi. | 3. Cách làm thịt kho đông ba chỉ | Nguyên liệu chuẩn vị | 1kg thịt ba rọi | 3 cây hành lá | 1 nhánh gừng | Tỏi, hành tím, quế, hồi, thảo quả (mỗi vị một ít) | Gia vị: Nước tương, hắc xì dầu, rượu nấu ăn Thiệu Hưng, đường phèn | Cách làm thịt kho đông ba chỉ | Bước 1: Sơ chế thịt | Sau khi mua thịt ba rọi, bạn hãy làm sạch bề mặt da bằng cách cạo nhẹ bằng dao, sau đó rửa sạch. Điều này giúp loại bỏ các chất bẩn và lông dư thừa. Tiếp theo, hãy làm nóng chảo và áp chảo phần da heo để da trở nên vàng rám. Quá trình này sẽ làm cho da mềm và giữ nguyên vẹn khi nấu. | Sau khi áp chảo, đặt thịt vào nước sôi đã thêm một ít rượu và để trong khoảng 3 phút. Quá trình này giúp loại bỏ chất bẩn và làm giảm mùi của thịt. Tiếp theo, cắt thịt thành các miếng vuông lớn kích thước 4cm. Bạn có thể sử dụng chỉ cotton chịu nhiệt hoặc dây chuối để buộc thịt lại và giữ cho nó giữ dáng vuông đẹp sau khi kho mềm. | Bước 2: Kho thịt | Để nấu món này, bạn nên sử dụng một nồi đất. Nếu muốn, bạn có thể lót đáy nồi với vỉ tre để tránh nồi bị khét. | Lót hành lá vào đáy nồi, sau đó xếp từng lát gừng lên cùng với tỏi và hành tím. Cuối cùng, xếp thịt lên trên, úp mặt da xuống dưới. Thêm nửa chén nước tương, ¼ chén hắc xì dầu, 1 chén rượu nấu ăn Thiệu Hưng, 1 chén nước lọc và 50g đường phèn. Bật lửa lớn và đun cho đến khi nước sôi, sau đó vớt bọt và giảm lửa nhỏ. Đậy nắp và ninh trong khoảng 2 tiếng với lửa nhỏ. | Khi đã ninh được một nửa thời gian, hãy lật thịt để thịt thấm đều gia vị. Đồng thời, thêm vào quế, hồi và thảo quả để mang đến hương thơm hấp dẫn cho thịt kho. | Bước 3: Hấp thịt kho | Sau khi thịt đã được kho và có màu đẹp hấp dẫn, bạn hãy đặt nồi thịt lên nồi hấp và hấp thêm 30 phút để thịt trở nên mềm và ngấm đủ vị. Khi hấp như vậy, nước sốt sẽ hơi sệt lại cùng với mỡ, tạo nên một món ăn ngon tuyệt vời. | Sau khi hấp xong, món Thịt Kho Đông Pha của chúng ta đã hoàn thành. Đặt thịt lên đĩa cùng với một ít cải thìa luộc. Kết hợp giữa thịt đỏ và cải xanh tạo thành một cảnh quan hấp dẫn. Nhờ thời gian ninh lâu, thịt đã chín mềm, khi đặt một miếng vào miệng, thịt tan chảy mềm mại, đậm đà và thơm ngon đến khó cưỡng. Món ăn này rất tuyệt khi ăn kèm với cơm nóng."
